Date,CCMP Index,INDU Index,TRAN Index,UTIL Index,NYA Index,SPX Index,OEX Index,XAX Index,OMX Index
4/29/2011,2873.54,12810.54,5514.87,429.06,8671.41,1363.61,608.33,2483.05,1162.84
5/2/2011,2864.08,12807.36,5507.77,428.55,8649.61,1361.22,607.06,2454.96,1163.46
5/3/2011,2841.62,12807.51,5478.04,432.18,8584.68,1356.62,606.28,2422.25,1153.87
5/4/2011,2828.23,12723.58,5392.71,430.94,8506.61,1347.32,602.2,2403.24,1148.64
5/5/2011,2814.72,12584.17,5454.12,427.91,8397.4,1335.1,595.38,2363.18,1148.83
5/6/2011,2827.56,12638.74,5471.78,429.81,8425.9,1340.2,597.32,2368.81,1157.83
5/9/2011,2843.25,12684.68,5470.16,431.17,8478.19,1346.29,599.19,2390.49,1157.13
5/10/2011,2871.89,12760.36,5527.5,437.32,8550.39,1357.16,603.24,2412.56,1167.53
5/11/2011,2845.06,12630.03,5457.37,436.24,8428.09,1342.08,596.49,2375.41,1173.79
5/12/2011,2863.04,12695.92,5454.24,439.54,8456.18,1348.65,598.83,2370.6,1166.53
5/13/2011,2828.47,12595.75,5383.91,436.91,8371.67,1337.77,594.2,2350.28,1166.54
5/16/2011,2782.31,12548.37,5372.48,436.59,8336.59,1329.47,590.26,2328.48,1173.48
5/17/2011,2783.21,12479.58,5335.37,440.41,8333.07,1328.98,590.51,2325.8,1157.68
5/18/2011,2815,12560.18,5421.1,439.38,8407.48,1340.68,595.02,2357.62,1158.06
5/19/2011,2823.31,12605.32,5478.8,439.92,8427.95,1343.6,596.17,2375.83,1166.15
5/20/2011,2803.32,12512.04,5448.76,439.82,8357.53,1333.27,591.35,2384.92,1167.07
5/23/2011,2758.9,12381.26,5381.64,434.53,8236.55,1317.37,584.82,2345.88,1137.69
5/24/2011,2746.16,12356.21,5347.67,434.15,8252.46,1316.28,584.76,2364.23,1134.97
5/25/2011,2761.38,12394.66,5394.27,433.45,8295.37,1320.47,586.41,2374.45,1151.92
5/26/2011,2782.92,12402.76,5406.12,432.84,8341.66,1325.69,587.93,2407.39,1140.4
5/27/2011,2796.86,12441.58,5408.58,433.54,8386.34,1331.1,590.43,2419.03,1149.12
5/31/2011,2835.3,12569.79,5469.55,436.37,8477.28,1345.2,597.32,2437.16,1151.36
6/1/2011,2769.19,12290.14,5283.57,431.52,8281.59,1314.55,584.26,2393.55,1159.47
6/2/2011,2773.31,12248.55,5311.73,429.97,8277.76,1312.94,583.23,2377.07,1159.47
6/3/2011,2732.78,12151.26,5220.25,427.21,8222.15,1300.16,578.5,2380.14,1133.67
6/6/2011,2702.56,12089.96,5150.17,424.98,8115.87,1286.17,572.8,2352.73,1133.67
6/7/2011,2701.56,12070.81,5147.1,425.38,8131.69,1284.94,571.05,2355.64,1128.86
6/8/2011,2675.38,12048.94,5088.48,426.09,8081.35,1279.56,569.89,2330.46,1102.96
6/9/2011,2684.87,12124.36,5134.86,426.75,8149.65,1289,574,2351.4,1112.24
6/10/2011,2643.73,11951.91,5060.59,423.83,8016.39,1270.98,566.53,2319.24,1095.69
6/13/2011,2639.69,11952.97,5072.58,424.45,8017.06,1271.83,567.74,2299.97,1089.92
6/14/2011,2678.72,12076.11,5168.14,426.63,8132.77,1287.87,573.81,2320.89,1106.49
6/15/2011,2631.46,11897.27,5104.52,420.88,7967.81,1265.42,564.13,2271.43,1089.38
6/16/2011,2623.7,11961.52,5104.54,424.33,7963.6,1267.64,565.64,2257.22,1078.5
6/17/2011,2616.48,12004.36,5158.55,426.79,8000.11,1271.5,567.04,2267.11,1083.44
6/20/2011,2629.66,12080.38,5201.22,429.17,8032.22,1278.36,569.59,2268.61,1067.3
6/21/2011,2687.26,12190.01,5300.57,429.8,8156.27,1295.52,576.34,2307.9,1092.07
6/22/2011,2669.19,12109.67,5288.2,427.37,8101.84,1287.14,572.46,2302.5,1073.15
6/23/2011,2686.75,12050,5302.63,423.43,8054.08,1283.5,570.73,2279.82,1055.24
6/24/2011,2652.89,11934.58,5214.15,423.99,7974.72,1268.45,563.62,2260.66,1055.24
6/27/2011,2688.28,12043.56,5259.19,427.08,8031.08,1280.1,569.2,2270.87,1068.89
6/28/2011,2729.31,12188.69,5331.97,429.23,8135.98,1296.67,576.11,2298.12,1072.36
6/29/2011,2740.49,12261.42,5356.17,431.29,8228.5,1307.41,581.05,2312.24,1100.03
6/30/2011,2773.52,12414.34,5423.82,433.48,8319.1,1320.64,587.31,2343.87,1115.23
7/1/2011,2816.03,12582.77,5548.42,439.03,8425.48,1339.67,595.25,2358.88,1118.05
7/5/2011,2825.77,12569.87,5498.72,436.37,8404.63,1337.88,594.86,2394.04,1127.26
7/6/2011,2834.02,12626.02,5566.07,437.01,8396.48,1339.22,595.56,2389.17,1118.86
7/7/2011,2872.66,12719.49,5618.25,438.8,8476.13,1353.22,601.81,2411.73,1135.15
7/8/2011,2859.81,12657.2,5548.66,436.75,8410.19,1343.8,598.03,2422.2,1120.58
7/11/2011,2802.62,12505.76,5447.96,431.38,8228.73,1319.49,588.15,2377.48,1103.39
7/12/2011,2781.91,12446.88,5386.16,433.06,8192.75,1313.64,585.3,2371.55,1099.19
7/13/2011,2796.92,12491.61,5416.26,432.38,8246.8,1317.72,587.57,2398.15,1108.13
7/14/2011,2762.67,12437.12,5349.86,430.61,8191.13,1308.87,584.74,2378.07,1091.62
7/15/2011,2789.8,12479.73,5342.54,432.02,8227.04,1316.14,587.72,2405.19,1079.64
7/18/2011,2765.11,12385.16,5283.92,427.76,8135.53,1305.44,584.06,2384.15,1056.12
7/19/2011,2826.52,12587.42,5347.49,431.89,8254.38,1326.73,593.42,2387.23,1076.71
7/20/2011,2814.23,12571.91,5342.95,434.61,8281.83,1325.84,593.64,2401.47,1093.59
7/21/2011,2834.43,12724.41,5432.26,441.33,8411.45,1343.8,601.89,2439.69,1088.16
7/22/2011,2858.83,12681.16,5428.24,439.23,8408.2,1345.02,602.51,2450.01,1091
7/25/2011,2842.8,12592.8,5414.43,440.09,8357.57,1337.43,599.41,2444.65,1086.38
7/26/2011,2839.96,12501.3,5341.89,438.62,8331.67,1331.94,596.88,2456.14,1078.13
7/27/2011,2764.79,12302.55,5204.35,438.14,8153.21,1304.89,586.18,2408.79,1070.5
